Company Name,Rating,Description
TCS,3.6,To view salary insightsSelect designation
Accenture,3.7,To view salary insightsSelect designation
Wipro,3.7,To view salary insightsSelect designation
Cognizant,3.7,To view salary insightsSelect designation
Capgemini,3.7,To view salary insightsSelect designation
HDFC Bank,3.8,To view salary insightsSelect designation
Infosys,3.6,To view salary insightsSelect designation
ICICI Bank,4.0,To view salary insightsSelect designation
HCLTech,3.5,To view salary insightsSelect designation
Tech Mahindra,3.5,To view salary insightsSelect designation
Genpact,3.7,To view salary insightsSelect designation
Teleperformance,3.9,To view salary insightsSelect designation
Concentrix Corporation,3.7,To view salary insightsSelect designation
Axis Bank,3.7,To view salary insightsSelect designation
Amazon,4.0,To view salary insightsSelect designation
Jio,4.2,To view salary insightsSelect designation
iEnergizer,4.7,To view salary insightsSelect designation
Reliance Retail,3.9,To view salary insightsSelect designation
IBM,3.9,To view salary insightsSelect designation
LTIMindtree,3.7,To view salary insightsSelect designation
